epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,538.078,0.78961,0.41632,0.81292,0.99547,0.99853,0.99495,0.84437,0.64776,0.38082,0.81028,0.0011684,0.0011684,0.0011684
44,550.71,0.78729,0.41518,0.80809,0.99618,0.99697,0.99495,0.83661,0.67671,0.38472,0.81333,0.0011486,0.0011486,0.0011486
45,563.413,0.78244,0.41546,0.81019,0.99697,0.99823,0.995,0.82974,0.72043,0.38189,0.81677,0.0011288,0.0011288,0.0011288
46,576.079,0.77998,0.41626,0.8107,0.99698,0.99994,0.99498,0.83393,0.68853,0.37877,0.81403,0.001109,0.001109,0.001109
47,588.744,0.79339,0.41624,0.81003,0.99789,1,0.995,0.84874,0.63942,0.37245,0.81041,0.0010892,0.0010892,0.0010892
48,601.439,0.80825,0.41982,0.80908,0.99848,0.99818,0.995,0.83909,0.67559,0.37834,0.81234,0.0010694,0.0010694,0.0010694
49,614.04,0.79254,0.41348,0.80691,0.99697,0.9984,0.99489,0.84114,0.66751,0.37048,0.81115,0.0010496,0.0010496,0.0010496
50,626.628,0.76917,0.40377,0.80627,0.99697,0.99841,0.99497,0.84322,0.64837,0.3617,0.81077,0.0010298,0.0010298,0.0010298
51,639.465,0.781,0.40489,0.80456,0.99819,1,0.995,0.84081,0.66119,0.37005,0.81113,0.00101,0.00101,0.00101
52,652.224,0.7797,0.40401,0.80838,0.99779,1,0.995,0.83853,0.68588,0.37465,0.81309,0.0009902,0.0009902,0.0009902
53,664.896,0.7692,0.39911,0.80771,0.99785,1,0.995,0.84846,0.64381,0.36678,0.8085,0.0009704,0.0009704,0.0009704
54,677.569,0.76352,0.39813,0.80414,0.99699,1,0.99498,0.84456,0.64463,0.34903,0.80952,0.0009506,0.0009506,0.0009506
55,690.395,0.77029,0.4003,0.80633,0.9982,1,0.99498,0.83754,0.65615,0.37239,0.81037,0.0009308,0.0009308,0.0009308
56,703.079,0.76499,0.39709,0.80658,0.99769,1,0.99498,0.84455,0.64819,0.35278,0.80869,0.000911,0.000911,0.000911
57,715.814,0.77327,0.39725,0.80642,0.99776,1,0.99498,0.83979,0.67364,0.35746,0.81159,0.0008912,0.0008912,0.0008912
58,728.455,0.80513,0.40503,0.80749,0.99728,1,0.995,0.85076,0.63408,0.36138,0.80875,0.0008714,0.0008714,0.0008714
59,741.276,0.79977,0.40602,0.80494,0.99925,1,0.995,0.8356,0.68848,0.37057,0.81188,0.0008516,0.0008516,0.0008516
60,753.946,0.7677,0.40178,0.80699,0.99861,1,0.995,0.84805,0.64054,0.36087,0.80859,0.0008318,0.0008318,0.0008318
61,766.621,0.78621,0.39961,0.80538,0.99715,1,0.995,0.84086,0.6659,0.36148,0.81034,0.000812,0.000812,0.000812
62,779.199,0.7698,0.40159,0.80315,0.99683,1,0.99498,0.84274,0.66674,0.36249,0.81116,0.0007922,0.0007922,0.0007922
63,792.062,0.75893,0.38848,0.80441,0.99819,1,0.995,0.85024,0.63954,0.34009,0.80818,0.0007724,0.0007724,0.0007724
64,804.778,0.75503,0.38751,0.80717,0.99753,1,0.99497,0.84638,0.63621,0.35911,0.8088,0.0007526,0.0007526,0.0007526
65,817.496,0.77774,0.39493,0.80487,0.99926,1,0.995,0.8271,0.71367,0.36336,0.81496,0.0007328,0.0007328,0.0007328
66,830.133,0.77934,0.39404,0.80977,0.99935,1,0.995,0.84807,0.64379,0.35658,0.80909,0.000713,0.000713,0.000713
67,842.905,0.75602,0.39157,0.80399,0.99935,1,0.995,0.83931,0.67015,0.36261,0.80978,0.0006932,0.0006932,0.0006932
68,855.672,0.79165,0.40543,0.80513,0.99733,1,0.995,0.84449,0.63499,0.36668,0.80765,0.0006734,0.0006734,0.0006734
69,868.525,0.79344,0.40091,0.80544,0.99952,1,0.995,0.83002,0.71707,0.36597,0.81565,0.0006536,0.0006536,0.0006536
70,881.162,0.76102,0.39357,0.80568,0.99756,1,0.995,0.84957,0.63114,0.36082,0.80725,0.0006338,0.0006338,0.0006338
71,893.805,0.74705,0.38769,0.80673,0.9994,1,0.995,0.83434,0.69224,0.35476,0.81261,0.000614,0.000614,0.000614
72,906.586,0.7616,0.38872,0.80167,0.99849,1,0.995,0.85178,0.62652,0.34654,0.80799,0.0005942,0.0005942,0.0005942
73,919.279,0.73174,0.37542,0.80457,0.998,1,0.995,0.84725,0.66127,0.34832,0.80974,0.0005744,0.0005744,0.0005744
74,932.194,0.77826,0.38396,0.80129,0.99812,1,0.995,0.85134,0.63166,0.34017,0.80794,0.0005546,0.0005546,0.0005546
75,945.079,0.7478,0.37687,0.80651,1,0.99995,0.995,0.84594,0.65983,0.35076,0.81008,0.0005348,0.0005348,0.0005348
76,957.762,0.75798,0.38515,0.8028,0.99848,1,0.995,0.85499,0.61972,0.3354,0.80712,0.000515,0.000515,0.000515
77,970.498,0.7451,0.37675,0.80013,0.99721,1,0.995,0.84863,0.64141,0.33904,0.80821,0.0004952,0.0004952,0.0004952
78,983.305,0.73808,0.37842,0.80061,0.99933,1,0.995,0.84936,0.6375,0.33719,0.80865,0.0004754,0.0004754,0.0004754
79,996.051,0.75038,0.37683,0.79946,1,0.99993,0.995,0.84755,0.64322,0.3458,0.8081,0.0004556,0.0004556,0.0004556
80,1008.82,0.75686,0.37678,0.80023,0.99994,1,0.995,0.85143,0.63101,0.34364,0.80814,0.0004358,0.0004358,0.0004358
81,1021.57,0.74059,0.37232,0.80212,0.99969,1,0.995,0.84713,0.64789,0.33569,0.80823,0.000416,0.000416,0.000416
82,1034.19,0.71765,0.36423,0.80262,0.99997,1,0.995,0.85611,0.6182,0.33505,0.80617,0.0003962,0.0003962,0.0003962
83,1046.81,0.72001,0.36148,0.79905,0.99941,0.99848,0.995,0.84488,0.65783,0.33669,0.80911,0.0003764,0.0003764,0.0003764
84,1059.41,0.73979,0.36959,0.80258,0.99849,0.9989,0.995,0.85453,0.6344,0.33692,0.80843,0.0003566,0.0003566,0.0003566
85,1072.23,0.72282,0.36427,0.80449,0.99932,0.99848,0.995,0.84828,0.64788,0.33721,0.80897,0.0003368,0.0003368,0.0003368
86,1085.01,0.7316,0.36731,0.80093,0.99849,0.99942,0.995,0.85513,0.61621,0.33162,0.80638,0.000317,0.000317,0.000317
87,1097.71,0.71614,0.36152,0.80281,0.9999,1,0.995,0.84806,0.6528,0.34144,0.80847,0.0002972,0.0002972,0.0002972
88,1110.45,0.72176,0.36022,0.80157,1,0.99989,0.995,0.8562,0.62614,0.33406,0.80619,0.0002774,0.0002774,0.0002774
89,1123.23,0.73417,0.36026,0.80209,1,0.9996,0.995,0.84989,0.64073,0.33621,0.80846,0.0002576,0.0002576,0.0002576
90,1136.18,0.70522,0.35511,0.8019,0.99849,0.99883,0.995,0.85235,0.62671,0.32736,0.80702,0.0002378,0.0002378,0.0002378
91,1166.22,0.73774,0.36181,0.79761,0.99849,0.99912,0.995,0.8519,0.62991,0.32815,0.80717,0.000218,0.000218,0.000218
92,1178.86,0.72846,0.36042,0.80117,1,1,0.995,0.85258,0.63731,0.334,0.80765,0.0001982,0.0001982,0.0001982
93,1191.51,0.71442,0.35596,0.8033,0.99971,1,0.995,0.85863,0.61979,0.31773,0.80574,0.0001784,0.0001784,0.0001784
94,1204.15,0.71395,0.35185,0.80016,0.99995,1,0.995,0.84896,0.64284,0.3268,0.80791,0.0001586,0.0001586,0.0001586
95,1216.76,0.72237,0.35736,0.80056,1,0.99977,0.995,0.85399,0.63327,0.32829,0.80717,0.0001388,0.0001388,0.0001388
96,1229.62,0.7311,0.35812,0.80039,0.99951,1,0.995,0.85696,0.62698,0.32398,0.80711,0.000119,0.000119,0.000119
97,1242.45,0.70521,0.35152,0.8016,0.99937,1,0.995,0.85325,0.64518,0.32793,0.8086,9.92e-05,9.92e-05,9.92e-05
98,1255.15,0.7248,0.35701,0.80023,1,0.99982,0.995,0.85105,0.63542,0.3295,0.80779,7.94e-05,7.94e-05,7.94e-05
99,1267.85,0.71623,0.35224,0.80274,1,0.99981,0.995,0.85439,0.6263,0.32531,0.80717,5.96e-05,5.96e-05,5.96e-05
100,1280.66,0.71734,0.35236,0.80039,1,0.99995,0.995,0.85386,0.62456,0.32382,0.80672,3.98e-05,3.98e-05,3.98e-05
